TITLE = "Equilibrium TP Sweep: AIR5"
VARIABLES = "T [K]", "P [Pa]", "Y(N2)", "Y(O2)", "Y(NO)", "Y(N)", "Y(O)"
ZONE T="TP_Sweep", I=2000, F=BLOCK
7.57139095e-01 7.57139287e-01 7.57139479e-01 7.57139669e-01 7.57139859e-01 
7.57140047e-01 7.57140234e-01 7.57140421e-01 7.57140606e-01 7.57140790e-01 
7.57140974e-01 7.57141156e-01 7.57141338e-01 7.57141518e-01 7.57141698e-01 
7.57141876e-01 7.57142054e-01 7.57142230e-01 7.57142406e-01 7.57142581e-01 
7.57142755e-01 7.57142928e-01 7.57143100e-01 7.57143271e-01 7.57143441e-01 
7.57143610e-01 7.57143779e-01 7.57143946e-01 7.57144113e-01 7.57144279e-01 
7.57144443e-01 7.57144607e-01 7.57144771e-01 7.57144933e-01 7.57145094e-01 
7.57145255e-01 7.57145415e-01 7.57145574e-01 7.57145732e-01 7.57145889e-01 
7.57146046e-01 7.57146201e-01 7.57146356e-01 7.57146510e-01 7.57146664e-01 
7.57146816e-01 7.57146968e-01 7.57147119e-01 7.57147269e-01 7.57147418e-01 
7.57147567e-01 7.57147715e-01 7.57147862e-01 7.57148008e-01 7.57148154e-01 
7.57148299e-01 7.57148443e-01 7.57148586e-01 7.57148729e-01 7.57148871e-01 
7.57149012e-01 7.57149152e-01 7.57149292e-01 7.57149431e-01 7.57149570e-01 
7.57149707e-01 7.57149844e-01 7.57149981e-01 7.57150116e-01 7.57150251e-01 
7.57150385e-01 7.57150519e-01 7.57150652e-01 7.57150784e-01 7.57150916e-01 
7.57151047e-01 7.57151177e-01 7.57151307e-01 7.57151436e-01 7.57151564e-01 
7.57151692e-01 7.57151819e-01 7.57151945e-01 7.57152071e-01 7.57152196e-01 
7.57152321e-01 7.57152445e-01 7.57152568e-01 7.57152691e-01 7.57152813e-01 
7.57152934e-01 7.57153055e-01 7.57153176e-01 7.57153295e-01 7.57153415e-01 
7.57153533e-01 7.57153651e-01 7.57153769e-01 7.57153885e-01 7.57154002e-01 
7.57154118e-01 7.57154233e-01 7.57154347e-01 7.57154461e-01 7.57154575e-01 
7.57154688e-01 7.57154800e-01 7.57154912e-01 7.57155023e-01 7.57155134e-01 
7.57155244e-01 7.57155354e-01 7.57155463e-01 7.57155572e-01 7.57155680e-01 
7.57155788e-01 7.57155895e-01 7.57156002e-01 7.57156108e-01 7.57156213e-01 
7.57156319e-01 7.57156423e-01 7.57156527e-01 7.57156631e-01 7.57156734e-01 
7.57156837e-01 7.57156939e-01 7.57157040e-01 7.57157142e-01 7.57157242e-01 
